,BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
4,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,392,6, ,C2,153 AVENUE B, ,10009,5,0,5,1633,6440,1900,2,C2,6625000,19/07/2017 0:00
5,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,399,26, ,C7,234 EAST 4TH   STREET, ,10009,28,3,31,4616,18690,1900,2,C7, -  ,14/12/2016 0:00
6,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,399,39, ,C7,197 EAST 3RD   STREET, ,10009,16,1,17,2212,7803,1900,2,C7, -  ,09/12/2016 0:00
7,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,402,21, ,C4,154 EAST 7TH STREET, ,10009,10,0,10,2272,6794,1913,2,C4,3936272,23/09/2016 0:00
8,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2A,404,55, ,C2,301 EAST 10TH   STREET, ,10009,6,0,6,2369,4615,1900,2,C2,8000000,17/11/2016 0:00
9,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,405,16, ,C4,516 EAST 12TH   STREET, ,10009,20,0,20,2581,9730,1900,2,C4, -  ,20/07/2017 0:00
10,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2B,406,32, ,C4,210 AVENUE B, ,10009,8,0,8,1750,4226,1920,2,C4,3192840,23/09/2016 0:00
11,1,ALPHABET CITY,07 RENTALS - WALKUP APARTMENTS             ,2,407,18, ,C7,520 EAST 14TH   STREET, ,10009,44,2,46,5163,21007,1900,2,C7, -  ,20/07/2017 0:00
12,1,ALPHABET CITY,08 RENTALS - ELEVATOR APARTMENTS           ,2,379,34, ,D5,141 AVENUE D, ,10009,15,0,15,1534,9198,1920,2,D5, -  ,20/06/2017 0:00
,,,,,,,,,,,,,,,,,,,,,
